Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Legend of Dynamic Goushouden: Houkai no Rondo,Banpresto,,,,,2003,Role-Playing
Bundesliga Manager Professional,Software 2000,,,,,1991,Simulation
Luxor,Activision,,,,,2005,Puzzle
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,Idea Factory,,,,0.03,2010,Adventure
Vampire Rain: Altered Species,Ignition Entertainment,3.5,,,0.06,2008,Action
Daikaijyuu Monogatari: Miracle of the Zone II,Hudson Soft,,,,,1999,Strategy
Recruits,Commotion Interactive,,,,,2014,Action
Akira Psychoball,Atari,,,,,2002,Misc
QuadTrix,Microsoft,,,,,2009,Puzzle
Steel Soldiers,EON Digital Entertainment,,,,0,2001,Strategy
Harukanaru Toki no Naka de: Yumenoukihashi,KOEI,,,,0.05,2008,Adventure
Monster Hunter World: Iceborne,Capcom,,,9.7,,2019,Role-Playing
Ninja Sneaking,Microsoft,,,,,2011,Platform
Spectra,Mastertronic,,,,,2015,Racing
Battle for Wesnoth,Unknown,,,,,2003,Strategy
James Pond 2: Codename RoboCod,U.S. Gold,,,,,1993,Platform
Mass Effect 2 ,Electronic Arts,9.5,8.9,,3.1,2010,Role-Playing
Shadowgrounds,Meridian4,6.8,,,,2006,Shooter
th!nk Logic Trainer: Kids,Conspiracy Entertainment,,,,0.01,2009,Puzzle
Might & Magic Heroes VI - Shades of Darkness,Ubisoft,,,,,2013,Misc
Kono Subarashii Sekai ni Shukufuku o! Kibo no Meikyu to Tsudoishi Bokenshatachi,Entergram,,,,,2019,Role-Playing
Coffee Tycoon,Anarchy Enterprises,4,,,,2005,Strategy
The Biggest Loser,THQ,7.7,,,1.07,2009,Sports
NOON,Micro Cabin,,,,,1998,Misc
PIX the CAT,Pasta Games!,,,,,2014,Action
Restaurant Story,TeamLava,,,,,2010,Misc
G.G Series: D-Tank,Genterprise,,,,,2011,Shooter
The Godfather II,Electronic Arts,,,,0,2009,Adventure
The Magical Quest starring Mickey Mouse (weekly jp sales),Capcom,,,,0.52,1992,Platform
Skools Out,Xing Entertainment,,,,,2004,Action
All-Pro Football 2K8,2K Sports,7.5,,,0.26,2007,Sports
Zoids: Legacy,Atari,,,,0.08,2004,Role-Playing
Dr. Mario: Miracle Cure,Nintendo,,,,,2015,Puzzle
Shin Bokura no Taiyou: Gyakushuu no Sabata,Konami,,,,,2005,Role-Playing
Trials HD - Big Pack,Microsoft,9,,,,2009,Misc
Crackdown,Microsoft Game Studios,8.4,7,1.5,,2007,Shooter
Gods Eater Burst,D3 Publisher,7.1,,0.47,,2011,Action
Kyukyoku Mahjong II,Unknown,,,,,1992,Misc
Gamocracy One: Legend of Robot,Unknown,,,,,2011,Platform
Gintama Oyakata no Jissen Pachinko Hisshouhou,Sammy Corporation,,,,,1995,Misc
Mass Effect 3,Electronic Arts,,,,3.04,2012,Role-Playing
Last Escort: Kurochou Special Night,D3 Publisher,,,,,2006,Adventure
Bass Masters Classic: Pro Edition,Konami Digital Entertainment,,,,,1993,Misc
Kamen Rider: Sakusen File 1,Toei Animation,,,,,1997,Misc
Sylvanian Families: Fashion Designer ni Naritai! - Kurumi-Risu no Onna no Ko,Epoch,,,,,2004,Role-Playing
Goemon: Shin Sedai Shuumei!,Konami,,,,,2001,Action
Yu-Gi-Oh! Dark Duel Stories,Konami,6.2,,,0.83,2002,Misc
Undercover AD2025 Kei,Pulse Entertainment,,,,,2000,Adventure
Metal Gear Ac!d 2,Konami,8.3,,,0.18,2006,Strategy
Crash Time II,Meridian4,,,,,2009,Racing
The Council,Focus Home Interactive,,,,,2018,Adventure
Geometry Wars: Retro Evolved 2,Activision,9.1,,,,2008,Shooter
Scratches,Got Game Entertainment,,,,0.01,2006,Adventure
Big Bass World Championship,Hot-B,,,,0.36,1997,Sports
Shin Megami Tensei IV Double Hero Pack,Atlus,,,,0,2018,Action
Ippan Zaidan Houjin: Nippon Kanji Shuujukudo Kentei Kikou Kounen - Tsuutenkaku DS,Now Production,,,,,2010,Misc
Spelling Challenges and more!,Crave Entertainment,4.5,,,0.25,2007,Misc
Punch-Out!! Featuring Mr. Dream,Nintendo,,,,,1990,Fighting
Homefront 2,THQ,,,,,2013,Shooter
Tekken Revolution,Namco Bandai Games,,,,,2013,Misc
Driveclub,Sony Computer Entertainment,7.2,,2,,2014,Racing
Pokémon Mystery Dungeon: Explorers of Sky,Nintendo,5.7,,1.49,,2009,Role-Playing
Pavilion,Unknown,,,,,2015,Misc
My Spanish Coach,Ubisoft,,,,0.43,2007,Misc
Just Sing! Christmas Songs,Engine Software,,,,,2010,Misc
theta,Nintendo,,,,0.01,2007,Puzzle
The Weaponographist,Mastertronic,,,,,2015,Action
Wings,Metro 3D,,,,,2003,Action
Zoids: Teikoku vs Kyouwakoku,Tomy Corporation,,,,,2000,Strategy
Toukiden Kiwami,Tecmo Koei,,,,,2015,Action
Warriors All-Stars,Koei Tecmo,,,0.13,,2017,Action
Hero Zero,Meridian,,,,,2012,Action
TV Calibration,Microsoft,,,,,2009,Misc
Phantom Dust,Majesco,8.2,,,0.11,2005,Action
Route 66,Gamehastra,,,,,2010,Adventure
Critical Point,Peach Princess,,,,,2002,Adventure
After Burner: Black Falcon,Sega,7.4,,,0.01,2007,Simulation
Ty the Tasmanian Tiger 2: Bush Rescue,Electronic Arts,7.3,,,0.53,2004,Platform
Time Leap,Prototype,,,,0.01,2009,Adventure
Gakuen Senki Muryou,MTO,,,,,2003,Strategy
Star Trek: Starfleet Academy,Interplay Productions,,,0.35,,1997,Simulation
LEGO Battles,Warner Bros. Interactive,,,,1.29,2009,Strategy
The Persistence,Sony Interactive Entertainment,,,,0.04,2018,Action-Adventure
Barrow Hill: Curse of the Ancient Circle,Got Game Entertainment,,,,0,2006,Adventure
G1 Jockey 4 2006,KOEI,,,,,2006,Sports
Barbie Explorer,Unknown,,,,0.14,2001,Platform
Command & Conquer: Generals - Deluxe Edition,Electronic Arts,,,,,2003,Strategy
Deathrow: Underground Team Combat,Ubisoft,,,,0.06,2002,Sports
Die Maus,Infogrames,,,,,1999,Action
Guild Wars Trilogy,NCSoft,,,,0.05,2005,Role-Playing
Jake Hunter: Detective Chronicles,Aksys Games,,,,0.02,2008,Adventure
Rally Cross,Sony Computer Entertainment,,,,0.32,1997,Racing
Capcom Fighting Collection,Capcom,,,,,2022,Fighting
Mike Tyson Boxing,Ubisoft,,,,0.04,2002,Sports
Adventure in Vegas: Slot Machine,Gamelion Studios,,,,,2010,Misc
International Superstar Soccer '98,Konami,,,,0.6,1998,Action
Professor Layton and the Last Specter,Nintendo,8.4,,2.06,,2011,Adventure
ZhuZhu Babies,Activision,,,,0.08,2011,Simulation
Yuu Yuu Hakusho Gaiden,Sega,,,,,1994,Role-Playing
Skate Park City,Midas Interactive Entertainment,,,,0,2008,Sports
Sugar Sugar Rune: Queen Shiken wa Dai Panic,Bandai,,,,0.01,2006,Action
Kids Station: Doki Doki ★Norimono Daibouken,Sunsoft,,,,,2001,Misc
Tales of Eternia,Namco,,,1.27,,2001,Role-Playing
War Leaders: Clash of Nations,CDV Software Entertainment,,,,0.02,2009,Strategy
Nicktoons Collection: Game Boy Advance Video Volume 3,Majesco,,,,0.02,2005,Misc
The Lord of the Rings: War of the Ring,Sierra Entertainment,,,,,2003,Strategy
Battle Pinball,Nippon Data Works,,,,,1994,Misc
Dramatical Murder Re:code,Nitroplus,,,,0.01,2014,Misc
"Ben There, Dan That!",Zombie Cow Studios,,,,,2008,Adventure
