Game,Console,Publisher,Genre,Critic_Score,User_Score,Copies,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Year
Judas,XS,Ghost Story Games,Shooter,,,,,,,,,2024
Judas,PS5,Ghost Story Games,Shooter,,,,,,,,,2024
Judas,PC,Ghost Story Games,Shooter,,,,,,,,,2024
Cities: Skylines II,XS,Paradox Interactive,Simulation,,,,,,,,,2024
Cities: Skylines II,PS5,Paradox Interactive,Simulation,,,,,,,,,2024
Race Journey: Nitro,PS5,Unknown,Action,,,,,,,,,2024
Luigi's Mansion 2 HD,NS,Nintendo,Action-Adventure,,,,,,,,,2024
Super Monkey Ball: Banana Rumble,NS,Sega,Platform,,,,,,,,,2024
MultiVersus,All,Warner Bros.,Fighting,,,,,,,,,2024
Paper Mario: The Thousand-Year Door,NS,Nintendo,Role-Playing,,,,,,,,,2024
Songs of Conquest,PC,Coffee Stain Publishing,Strategy,,,0.5,,,,,,2024
Endless Ocean Luminous,NS,Nintendo,Simulation,,,,,,,,,2024
Gray Zone Warfare,PC,MADFINGER Games,Shooter,,,0.4,,,,,,2024
Manor Lords,PC,Hooded Horse,Strategy,,,2,,,,,,2024
Content Warning,PC,Landfall Games,Action-Adventure,,,2.2,,,,,,2024
Winning Post 10 2024,All,Koei Tecmo,Simulation,,,0.06,,,,,,2024
Dragon's Dogma 2,All,Capcom,Role-Playing,,,3,,,,,,2024
Unicorn Overlord,All,Atlus,Role-Playing,,,0.5,,,,,,2024
WWE 2K24,XS,2K Games,Fighting,,,,,,,,,2024
WWE 2K24,XOne,2K Games,Fighting,,,,,,,,,2024
WWE 2K24,PS5,2K Games,Fighting,,,,,,,,,2024
WWE 2K24,PS4,2K Games,Fighting,,,,,,,,,2024
Top Racer Collection,NS,QUByte Interactive,Racing,,,,,,,,,2024
"Final Fantasy VII Rebirth
Read the review",PS5,Square Enix,Role-Playing,,,,,,,,,2024
Balatro,All,Playstack,Strategy,,,1,,,,,,2024
Mario vs. Donkey Kong,NS,Nintendo,Puzzle,,,1.12,,,,,,2024
Tomb Raider I-III Remastered,XS,Aspyr,Action-Adventure,,,,,,,,,2024
Tomb Raider I-III Remastered,XOne,Aspyr,Action-Adventure,,,,,,,,,2024
Tomb Raider I-III Remastered,PS5,Aspyr,Action-Adventure,,,,,,,,,2024
Tomb Raider I-III Remastered,PS4,Aspyr,Action-Adventure,,,,,,,,,2024
Tomb Raider I-III Remastered,PC,Aspyr,Action-Adventure,,,,,,,,,2024
"Tomb Raider I-III Remastered
Read the review",NS,Aspyr,Action-Adventure,,,,,,,,,2024
"Helldivers 2
Read the review",PS5,Sony Interactive Entertainment,Shooter,,,,,,,,,2024
Helldivers 2,All,Sony Interactive Entertainment,Shooter,,,12,,,,,,2024
Persona 3 Reload,XOne,Atlus,Role-Playing,,,,,,,,,2024
Persona 3 Reload,All,Sega,Role-Playing,,,1,,,,,,2024
Granblue Fantasy: Relink,All,Cygames,Role-Playing,,,1,,,,,,2024
Silent Hill: The Short Message,PS5,Konami Digital Entertainment,Adventure,,,,,,,,,2024
Like a Dragon: Infinite Wealth,All,Sega,Role-Playing,,,1,,,,,,2024
"Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island
Read the review",NS,Spike Chunsoft,Role-Playing,,,0.2,,,,,,2024
