Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Professor Layton,,18,Nintendo,2008,Series,,,,,,
Need for Speed: Most Wanted,,17.8,Electronic Arts,2005,All,,,,,,
Pokémon Diamond / Pearl Version,,17.67,Nintendo,2007,DS,,,,,,8.6
Elden Ring,,17.5,Bandai Namco Entertainment,2022,All,,,,,,
Grand Theft Auto: Vice City,,17.5,Rockstar Games,2002,All,,,,,,
Grand Theft Auto: San Andreas,,17.3,Rockstar Games,2004,PS2,,,,,,9.5
Super Mario Bros. 3,,17.28,Nintendo,1990,NES,,,,,,
RollerCoaster Tycoon,,17.23,Hasbro Interactive,1999,Series,,,,,,
Persona,,17.1,Atlus,1996,Series,,,,,,
SoulCalibur,,17,Namco,1996,Series,,,,,,
Zuma,,17,PopCap Games,2003,Series,,,,,,
Zuma,,17,PopCap Games,2003,All,,,,,,
Garry's Mod,,16.9,Valve,2006,PC,,,,,,
Pokemon Mystery Dungeon,,16.86,Nintendo,2006,Series,,,,,,
Metroid,,16.8,Nintendo,1987,Series,,,,,,
Pokémon X/Y,,16.65,Nintendo,2013,3DS,,,,,9.3,8.9
Hitman,,16.59,Eidos Interactive,2000,Series,,,,,,
Mario Tennis,,16.53,Nintendo,1995,Series,,,,,,
Deus Ex,,16.4,Eidos Interactive,2000,Series,,,,,,
Pokémon Sun/Moon,,16.29,Nintendo,2016,3DS,,,,,,9
Uncharted 4: A Thief's End,,16.25,Sony Interactive Entertainment,2016,PS4,,,,,,9.2
Pokémon Ruby / Sapphire Version,,16.22,Nintendo,2003,GBA,,,,,,8.8
Grand Theft Auto: Vice City,16.15,,Rockstar Games,2002,PS2,0.47,8.41,1.78,5.49,,9.6
Borderlands 3,,16,2K Games,2019,All,,,,,,
FIFA 11,,16,EA Sports,2010,All,,,,,,
Mass Effect,,16,Electronic Arts,2007,Series,,,,,,
The Sims,,16,Electronic Arts,2000,All,,,,,,
The Witcher 3: Wild Hunt,,15.9,Warner Bros. Interactive Entertainment,2015,PC,,,,,,
Grand Theft Auto V,15.86,,Rockstar Games,2013,X360,0.06,9.06,1.42,5.33,,
Call of Duty 4: Modern Warfare,,15.7,Activision,2007,All,,,,,,
Call of Duty: World at War,,15.7,Activision,2008,All,,,,,,
Pokémon Black / White Version,,15.64,Nintendo,2011,DS,,,,,9,8.6
Need for Speed: Carbon,,15.6,Electronic Arts,2006,All,,,,,,
Momotaro Dentetsu,,15.5,Konami,1988,Series,,,,,,
Ring Fit Adventure,,15.22,Nintendo,2019,NS,,,,,,
Call of Duty: Black Ops 3,15.09,,Activision,2015,PS4,0.41,6.18,2.44,6.05,,
"Pokémon: Let's Go, Pikachu/Eevee",,15.07,Nintendo,2018,NS,,,,,,
Counter-Strike: Source,,15,VU Games,2004,PC,,,,,,9.3
Assassin's Creed IV: Black Flag,,15,Ubisoft,2013,All,,,,,,
Backyard Sports,,15,Humongous Entertainment,1997,Series,,,,,,
Barbie,,15,Hi Tech Expressions,1991,Series,,,,,,
Battlefield 3,,15,Electronic Arts,2011,All,,,,,,
Burnout,,15,EA Sports,2001,Series,,,,,,
Dead Rising,,15,Capcom,2006,Series,,,,,,
Famista,,15,Namco,1986,Series,,,,,,
